"registry_entry_key","registry_pharmacy_name","registry_district","registry_area","directory_pharmacy_name","directory_area","e164","source_url","source_reference","name_score","match_confidence","runner_up_confidence","district_match","sector_match","review_reason"
"retail-2026-05-404","AROME PHARMACY Ltd","MUHANGA","NYAMABUYE GAHOGO","AROME PHARMACY LTD","Muhanga - Nyamabuye","250788296204","https://www.mmi.gov.rw/partners/pharmacies","MMI pharmacy partner directory page 1","1.000","1.000","0.180","true","true","exact_or_high_name_and_locality"
"retail-2026-05-407","AVIEL PHARMACY Ltd","KICUKIRO","KANOMBE KABEZA","AVIEL PHARMACY LTD","Kicukiro - Kanombe","250786540360","https://www.mmi.gov.rw/partners/pharmacies","MMI pharmacy partner directory page 1","1.000","1.000","0.180","true","true","exact_or_high_name_and_locality"
"retail-2026-05-537","AXIS PHARMACY Ltd","KICUKIRO","KANOMBE KABEZA","AXIS PHARMACY","Kicukiro - Kanombe","250788485495","https://www.mmi.gov.rw/partners/pharmacies","MMI pharmacy partner directory page 1","1.000","1.000","0.180","true","true","exact_or_high_name_and_locality"
"retail-2026-05-706","BGK PHARMACY Ltd","MUSANZE","MUHOZA KIGOMBE","BGK Pharmacy","Musanze - Muhoza","250788302354","https://www.mmi.gov.rw/partners/pharmacies","MMI pharmacy partner directory page 1","1.000","1.000","0.180","true","true","exact_or_high_name_and_locality"
"retail-2026-05-66","BLESSING PHARMACY LTD","MUHANGA","NYAMABUYE GAHOGO","BLESSING PHARMACY LTD","Muhanga - Nyamabuye","250788283205","https://www.mmi.gov.rw/partners/pharmacies","MMI pharmacy partner directory page 1","1.000","1.000","0.390","true","true","exact_or_high_name_and_locality"
"retail-2026-05-251","BONITAS DEI PHARMACY Ltd","GASABO","KINYINYA KAGUGU","BONITAS DEI PHARMACY","Gasabo - Kanyinya","250788669080","https://www.mmi.gov.rw/partners/pharmacies","MMI pharmacy partner directory page 1","1.000","0.940","0.510","true","false","exact_or_high_name_and_locality"
"retail-2026-05-393","BOVAN LTD","NYARUGENGE","MUHIMA NYABUGOGO","BOVAN PHARMACY","Nyarugenge - Muhima","250788966865","https://www.mmi.gov.rw/partners/pharmacies","MMI pharmacy partner directory page 1","1.000","1.000","0.180","true","true","exact_or_high_name_and_locality"
"retail-2026-05-730","CARITATE PHARMACY Limited","GICUMBI","BYUMBA GISUNA","CARITATE PHARMACY","Gicumbi - Byumba","250780292045","https://www.mmi.gov.rw/partners/pharmacies?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5BcurrentPage%5D=2&cHash=cb3ba28d85d6688fc9af769dc2d131cf","MMI pharmacy partner directory page 2","1.000","1.000","0.180","true","true","exact_or_high_name_and_locality"
"retail-2026-05-364","PHARMACIE CELIA LTD","KAYONZA","KABARONDO CYATWA","CELIA PHARMACY","Kayonza - Kabarondo","250788831809","https://www.mmi.gov.rw/partners/pharmacies?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5BcurrentPage%5D=2&cHash=cb3ba28d85d6688fc9af769dc2d131cf","MMI pharmacy partner directory page 2","1.000","1.000","0.180","true","true","exact_or_high_name_and_locality"
"retail-2026-05-336","DELIGHT PHARMACY Ltd","GASABO","REMERA RUKIRI I","DELIGHT","Gasabo - Remera","250788596421","https://www.mmi.gov.rw/partners/pharmacies?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5BcurrentPage%5D=2&cHash=cb3ba28d85d6688fc9af769dc2d131cf","MMI pharmacy partner directory page 2","1.000","1.000","0.180","true","true","exact_or_high_name_and_locality"
"retail-2026-05-498","DELIZA PHARMACY Ltd","NYARUGENGE","NYAKABANDA MUNANIRA I","DELIZA PHARMACY Ltd","Nyarugenge - Nyakabanda","250783263952","https://www.mmi.gov.rw/partners/pharmacies?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5BcurrentPage%5D=2&cHash=cb3ba28d85d6688fc9af769dc2d131cf","MMI pharmacy partner directory page 2","1.000","1.000","0.180","true","true","exact_or_high_name_and_locality"
"retail-2026-05-358","DESTINY PHARMACY Ltd","MUSANZE","MUHOZA MUHOZA","DESTINY PHARMACY LTD","Musanze - Muhoza","250783380902","https://www.mmi.gov.rw/partners/pharmacies?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5BcurrentPage%5D=2&cHash=cb3ba28d85d6688fc9af769dc2d131cf","MMI pharmacy partner directory page 2","1.000","1.000","0.180","true","true","exact_or_high_name_and_locality"
"retail-2026-05-589","EL JEE PHARMACY Ltd","RUBAVU","KANAMA MAHOKO","EL JEE PHARMACY","Rubavu - Kanama","250788799311","https://www.mmi.gov.rw/partners/pharmacies?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5BcurrentPage%5D=2&cHash=cb3ba28d85d6688fc9af769dc2d131cf","MMI pharmacy partner directory page 2","1.000","1.000","0.390","true","true","exact_or_high_name_and_locality"
"retail-2026-05-638","ELIOT PHARMACY Ltd","NYAGATARE","NYAGATARE NYAGATARE","ELIOT PHARMACY LTD","Nyagatare - Nyagatare","250784027856","https://www.mmi.gov.rw/partners/pharmacies?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5BcurrentPage%5D=3&cHash=da7283f6cd729a97e89c591c94e310fc","MMI pharmacy partner directory page 3","1.000","1.000","0.180","true","true","exact_or_high_name_and_locality"
"retail-2026-05-287","ELLIO PHARMACY LTD","BUGESERA","NYAMATA NYAMATA","ELLIO PHARMA","Bugesera - Nyamata","250788432912","https://www.mmi.gov.rw/partners/pharmacies?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5BcurrentPage%5D=3&cHash=da7283f6cd729a97e89c591c94e310fc","MMI pharmacy partner directory page 3","1.000","1.000","0.180","true","true","exact_or_high_name_and_locality"
"retail-2026-05-221","EMMA SANITAS PHARMACY LTD","BUGESERA","NYAMATA NYAMATA","EMMA SANITAS PHARMACY LTD","Bugesera - Nyamata","250788672252","https://www.mmi.gov.rw/partners/pharmacies?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5BcurrentPage%5D=3&cHash=da7283f6cd729a97e89c591c94e310fc","MMI pharmacy partner directory page 3","1.000","1.000","0.180","true","true","exact_or_high_name_and_locality"
"retail-2026-05-146","EXTREME PHARMACY Ltd","KICUKIRO","KICUKIRO KICUKIRO","EXTREME PHARMACY LTD","Kicukiro - Kicukiro","250783419586","https://www.mmi.gov.rw/partners/pharmacies?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5BcurrentPage%5D=3&cHash=da7283f6cd729a97e89c591c94e310fc","MMI pharmacy partner directory page 3","1.000","1.000","0.180","true","true","exact_or_high_name_and_locality"
